Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
Kepler-155 b,Kepler-155,1,0,Transit,2014,Kepler,5.931194,0.000008,-0.000008,0.056,2.09,0.21,-0.21,0.186,5.02,,,M0 V,0.62,0.64,0.02,-0.02,2.9,293.499,2.279,-2.279,0
Kepler-155 c,Kepler-155,1,0,Transit,2014,Kepler,52.661793,0.000236,-0.000236,0.242,2.24,0.15,-0.15,0.2,5.65,,,M0 V,0.62,0.64,0.02,-0.02,2.9,293.499,2.279,-2.279,0
Kepler-1550 b,Kepler-1550,1,0,Transit,2016,Kepler,225.582809,0.003846,-0.003846,0.7681,3.02,0.71,-0.38,0.269,9.38,,,,1.11,1.07,0.1,-0.08,3.55,1179.01,33.51,-31.74,0
Kepler-1551 b,Kepler-1551,1,0,Transit,2016,Kepler,24.4973698,0.0002094,-0.0002094,0.1772,2.66,0.91,-0.42,0.237,7.56,,,,1.22,1.14,0.17,-0.09,2.88,1463.72,53.045,-53.045,0
Kepler-1552 b,Kepler-1552,1,0,Transit,2016,Kepler,184.771853,0.001546,-0.001546,0.6045,2.47,0.11,-0.1,0.22,6.66,,,,0.78,0.85,0.03,-0.04,3.31,769.096,13.1565,-13.1565,0
Kepler-1553 b,Kepler-1553,1,0,Transit,2016,Kepler,4.24261881,0.00002781,-0.00002781,0.0481,1.15,0.1,-0.09,0.103,1.6,,,,0.81,0.85,0.04,-0.05,4.57,692.594,11.7265,-11.7265,0
Kepler-1554 b,Kepler-1554,1,0,Transit,2016,Kepler,198.088774,0.002456,-0.002456,0.6314,2.9,0.23,-0.27,0.259,8.75,,,,0.81,0.84,0.05,-0.06,4.68,946.847,31.643,-29.695,0
Kepler-1555 b,Kepler-1555,1,0,Transit,2016,Kepler,8.10501635,0.00008122,-0.00008122,0.0805,1.61,0.46,-0.17,0.144,3.22,,,,1.06,1.04,0.06,-0.06,4.37,2013.27,122.23,-109.27,0
Kepler-1556 b,Kepler-1556,1,0,Transit,2016,Kepler,8.82713457,0.00004025,-0.00004025,0.0829,1.96,0.4,-0.15,0.175,4.5,,,,0.95,0.97,0.05,-0.05,4.9,944.54,25.0215,-25.0215,0
Kepler-1557 b,Kepler-1557,1,0,Transit,2016,Kepler,3.74032496,0.00002165,-0.00002165,0.049,1.53,0.5,-0.21,0.136,2.96,,,,1.17,1.11,0.14,-0.1,3.31,1380.16,45.525,-45.525,0
Kepler-1558 b,Kepler-1558,1,0,Transit,2016,Kepler,3.50470358,0.00001612,-0.00001612,0.0419,0.68,0.06,-0.04,0.061,0.244,,,,0.79,0.83,0.04,-0.04,4.9,325.737,1.5315,-1.5315,0
Kepler-1559 b,Kepler-1559,1,0,Transit,2016,Kepler,0.97191543,0.00000379,-0.00000379,0.018,0.72,0.07,-0.05,0.064,0.299,,,,0.82,0.86,0.04,-0.05,4.27,614.827,9.522,-9.522,0
Kepler-156 b,Kepler-156,1,0,Transit,2014,Kepler,4.973456,0.000008,-0.000008,0.054,2.3,0.17,-0.17,0.205,5.9,,,,0.81,0.84,0.03,-0.04,5.37,443.483,3.494,-3.494,0
Kepler-156 c,Kepler-156,1,0,Transit,2014,Kepler,15.906801,0.000045,-0.000045,0.117,2.55,0.19,-0.19,0.227,7.04,,,,0.81,0.84,0.03,-0.04,5.37,443.483,3.494,-3.494,0
Kepler-1560 b,Kepler-1560,1,0,Transit,2016,Kepler,3.03195744,0.00001306,-0.00001306,0.0397,0.89,0.18,-0.09,0.079,0.64,,,,1.02,1.02,0.06,-0.06,4.17,502.497,4.266,-4.195,0
Kepler-1561 b,Kepler-1561,1,0,Transit,2016,Kepler,1.00520701,0.0000051,-0.0000051,0.0194,1.09,0.26,-0.18,0.097,1.32,,,,1.11,1.07,0.12,-0.09,3.39,839.076,18.935,-18.131,0
Kepler-1562 b,Kepler-1562,1,0,Transit,2016,Kepler,64.2737752,0.0007141,-0.0007141,0.3308,3.55,1,-0.42,0.317,12.3,,,,1.05,1.02,0.06,-0.05,4.79,2060.72,95.4,-95.4,0
Kepler-1563 b,Kepler-1563,1,0,Transit,2016,Kepler,3.43276598,0.00002976,-0.00002976,0.0442,0.75,0.12,-0.08,0.067,0.347,,,,0.99,1,0.05,-0.05,4.07,616.697,,,0
Kepler-1564 b,Kepler-1564,1,0,Transit,2016,Kepler,18.0540381,0.0001919,-0.0001919,0.1327,1.47,0.19,-0.13,0.131,2.76,,,,0.9,0.93,0.04,-0.05,4.57,908.805,19.32,-18.546,0
Kepler-1565 b,Kepler-1565,1,0,Transit,2016,Kepler,1.53818844,0.00000686,-0.00000686,0.0241,1.19,0.08,-0.12,0.106,1.81,,,,0.73,0.76,0.04,-0.06,5.62,629.93,11.596,-11.192,0
Kepler-1566 b,Kepler-1566,1,0,Transit,2016,Kepler,0.53991524,0.00000135,-0.00000135,0.0121,0.79,0.08,-0.05,0.07,0.418,,,,0.81,0.84,0.04,-0.05,5.01,466.586,3.6975,-3.6975,0
Kepler-1567 b,Kepler-1567,1,0,Transit,2016,Kepler,153.979578,0.001785,-0.001785,0.552,2.73,0.4,-0.23,0.244,7.9,,,,0.93,0.95,0.06,-0.06,4.17,1206.11,45.35,-42.24,0
Kepler-1568 b,Kepler-1568,1,0,Transit,2016,Kepler,20.925392,0.0002521,-0.0002521,0.1499,1.3,0.21,-0.15,0.116,2.24,,,,1.19,1.09,0.04,-0.04,4.57,916.313,14.346,-13.918,0
Kepler-1569 b,Kepler-1569,1,0,Transit,2016,Kepler,5.79180156,0.00003622,-0.00003622,0.0654,1.68,0.73,-0.31,0.15,3.46,,,,1.4,1.25,0.21,-0.13,2.45,945.454,16.135,-16.135,0
Kepler-157 b,Kepler-157,1,0,Transit,2014,Kepler,1.732342,0.000006,-0.000006,0.028,1.32,0.26,-0.26,0.118,2.3,,,,1.04,1.02,0.04,-0.04,4.07,773.713,10.485,-10.485,0
Kepler-157 c,Kepler-157,1,0,Transit,2014,Kepler,13.5405,0.000049,-0.000049,0.11,2.24,0.43,-0.43,0.2,5.65,,,,1.04,1.02,0.04,-0.04,4.07,773.713,10.485,-10.485,0
Kepler-157 d,Kepler-157,1,0,Transit,2016,Kepler,7.02573474,0.00002388,-0.00002388,0.0698,1.46,0.16,-0.1,0.13,2.73,,,,1.03,1.02,0.04,-0.04,4.07,773.713,10.485,-10.485,0
Kepler-1570 b,Kepler-1570,1,0,Transit,2016,Kepler,26.548955,0.0003047,-0.0003047,0.1784,1.07,0.19,-0.1,0.095,1.24,,,,0.89,0.92,0.09,-0.07,4.17,918.995,14.239,-13.818,0
Kepler-1571 b,Kepler-1571,1,0,Transit,2016,Kepler,3.38555488,0.00001595,-0.00001595,0.0432,1.52,0.68,-0.34,0.136,2.92,,,,1.39,1.23,0.25,-0.16,2.34,675.303,7.7825,-7.7825,0
Kepler-1572 b,Kepler-1572,1,0,Transit,2016,Kepler,5.49548621,0.0000292,-0.0000292,0.0614,0.94,0.19,-0.08,0.084,0.779,,,,0.95,0.97,0.04,-0.04,4.79,946.602,12.8675,-12.8675,0
Kepler-1573 b,Kepler-1573,1,0,Transit,2016,Kepler,2.6157554,0.00001498,-0.00001498,0.0364,1.2,0.23,-0.11,0.107,1.87,,,,1,1.01,0.05,-0.05,4.07,1455.36,57.65,-53.48,0
Kepler-1574 b,Kepler-1574,1,0,Transit,2016,Kepler,6.9424334,0.00006006,-0.00006006,0.0743,1.29,0.28,-0.15,0.115,2.21,,,,1.08,1.06,0.06,-0.06,3.8,1384.16,51.03,-47.59,0
Kepler-1575 b,Kepler-1575,1,0,Transit,2016,Kepler,2.55314213,0.00001304,-0.00001304,0.0366,1.31,0.2,-0.13,0.117,2.27,,,,0.92,0.95,0.06,-0.06,4.17,1246.92,41.71,-39.14,0
Kepler-1576 b,Kepler-1576,1,0,Transit,2016,Kepler,6.98471973,0.0000594,-0.0000594,0.0726,1.04,0.29,-0.13,0.093,1.12,,,,1.06,1.05,0.07,-0.07,4.07,460.91,2.749,-2.716,0
Kepler-1577 b,Kepler-1577,1,0,Transit,2016,Kepler,6.30560247,0.00003666,-0.00003666,0.0657,1.13,0.05,-0.11,0.101,1.51,,,,0.74,0.78,0.04,-0.04,4.27,510.029,6.634,-6.469,0
Kepler-1578 b,Kepler-1578,1,0,Transit,2016,Kepler,1.45088691,0.00000695,-0.00000695,0.0252,1.04,0.11,-0.11,0.093,1.12,,,,0.86,0.9,0.05,-0.07,4.27,1064.05,40.22,-37.44,0
Kepler-1579 b,Kepler-1579,1,0,Transit,2016,Kepler,0.84990789,0.00000293,-0.00000293,0.014,0.84,0.06,-0.05,0.075,0.52,,,,0.7,0.75,0.03,-0.04,2.24,466,18.253,-20.59,0
Kepler-158 b,Kepler-158,1,0,Transit,2014,Kepler,16.709184,0.000064,-0.000064,0.111,2.12,0.36,-0.36,0.189,5.14,,,,0.62,0.66,0.01,-0.01,13.9,315.177,2.111,-2.083,0
Kepler-158 c,Kepler-158,1,0,Transit,2014,Kepler,28.551383,0.00014,-0.00014,0.158,1.9,0.3,-0.3,0.17,4.27,,,,0.62,0.66,0.01,-0.01,13.9,315.177,2.111,-2.083,0
Kepler-1580 b,Kepler-1580,1,0,Transit,2016,Kepler,56.6449279,0.0008525,-0.0008525,0.323,2.11,0.3,-0.31,0.188,5.1,,,,2.15,1.47,0.11,-0.11,2.75,1002.02,24.98,-23.804,0
Kepler-1581 b,Kepler-1581,1,0,Transit,2016,Kepler,6.28385491,0.00004246,-0.00004246,0.0674,0.8,0.14,-0.09,0.071,0.437,,,,1.23,1.12,0.06,-0.04,4.17,493.175,5.817,-5.686,0
Kepler-1582 b,Kepler-1582,1,0,Transit,2016,Kepler,4.83817712,0.0000884,-0.0000884,0.0316,1.49,0.17,-0.14,0.133,2.83,,,,0.3,0.28,0.03,-0.03,7.76,78.8906,0.4421,-0.4372,0
Kepler-1583 b,Kepler-1583,1,0,Transit,2016,Kepler,9.32807355,0.00008851,-0.00008851,0.085,0.6,0.09,-0.05,0.054,0.156,,,,0.91,0.94,0.05,-0.06,4.27,403.933,2.925,-2.883,0
Kepler-1584 b,Kepler-1584,1,0,Transit,2016,Kepler,13.3997099,0.000157,-0.000157,0.1168,1.61,0.4,-0.21,0.144,3.22,,,,1.13,1.1,0.09,-0.07,3.31,1416.31,38.57,-36.62,0
Kepler-1585 b,Kepler-1585,1,0,Transit,2016,Kepler,3.5827463,0.00001739,-0.00001739,0.0445,1.79,0.25,-0.16,0.16,3.86,,,,0.91,0.94,0.05,-0.05,4.37,944.465,33.906,-31.671,0
Kepler-1586 b,Kepler-1586,1,0,Transit,2016,Kepler,15.6049212,0.0001365,-0.0001365,0.1266,1.52,0.65,-0.34,0.136,2.92,,,,1.75,1.45,0.23,-0.19,1.7,552.55,4.562,-4.489,0
Kepler-1587 b,Kepler-1587,1,0,Transit,2016,Kepler,9.4060467,0.0001376,-0.0001376,0.0878,1.33,0.47,-0.24,0.119,2.33,,,,1.22,1.08,0.06,-0.04,5.01,1026.48,18.44,-17.81,0
Kepler-1588 b,Kepler-1588,1,0,Transit,2016,Kepler,7.84931739,0.00009456,-0.00009456,0.0726,0.76,0.11,-0.07,0.068,0.363,,,,0.99,0.96,0.04,-0.05,5.5,924.141,15.554,-15.554,0
Kepler-1589 b,Kepler-1589,1,0,Transit,2016,Kepler,0.99166527,0.00000784,-0.00000784,0.0205,1.09,0.44,-0.17,0.097,1.32,,,,1.25,1.18,0.17,-0.11,2.75,1513.14,65.63,-60.48,0
Kepler-159 b,Kepler-159,1,0,Transit,2014,Kepler,10.139623,0.000022,-0.000022,0.082,2.38,0.18,-0.18,0.212,6.26,,,M0 V,0.66,0.63,0.01,-0.01,2.51,373.744,3.15,-3.099,0
Kepler-159 c,Kepler-159,1,0,Transit,2014,Kepler,43.595792,0.000125,-0.000125,0.218,3.41,0.28,-0.28,0.304,11.5,,,M0 V,0.66,0.63,0.01,-0.01,2.51,373.744,3.15,-3.099,0
Kepler-1590 b,Kepler-1590,1,0,Transit,2016,Kepler,7.61760804,0.00004334,-0.00004334,0.0772,1.14,0.34,-0.15,0.102,1.55,,,,1.16,1.11,0.1,-0.07,3.39,771.152,10.82,-10.531,0
Kepler-1591 b,Kepler-1591,1,0,Transit,2016,Kepler,8.18504949,0.00007831,-0.00007831,0.0794,1.27,0.41,-0.19,0.113,2.15,,,,1.16,1.1,0.13,-0.1,3.24,1419.58,49.98,-46.76,0
Kepler-1592 b,Kepler-1592,1,0,Transit,2016,Kepler,3.05710069,0.00002334,-0.00002334,0.04,1.54,0.7,-0.28,0.137,2.99,,,,1.28,1.18,0.2,-0.12,2.69,1639.47,70.14,-64.7,0
Kepler-1593 b,Kepler-1593,1,0,Transit,2016,Kepler,174.509835,0.001852,-0.001852,0.546,3.17,0.3,-0.28,0.283,10.2,,,,0.77,0.81,0.06,-0.05,3.63,638.249,13.378,-12.85,0
Kepler-1594 b,Kepler-1594,1,0,Transit,2016,Kepler,2.71603809,0.00001355,-0.00001355,0.0396,1.06,0.26,-0.12,0.095,1.2,,,,1.08,1.06,0.07,-0.07,3.89,976.868,23.05,-22.029,0
Kepler-1595 b,Kepler-1595,1,0,Transit,2016,Kepler,4.56380468,0.0000324,-0.0000324,0.051,1.23,0.09,-0.1,0.11,2.04,,,,0.8,0.84,0.04,-0.04,4.68,845.022,21.858,-20.802,0
Kepler-1596 b,Kepler-1596,1,0,Transit,2016,Kepler,66.373379,0.001476,-0.001476,0.3237,1.9,0.25,-0.17,0.17,4.27,,,,0.92,0.95,0.05,-0.07,3.89,2146.23,147.39,-129.98,0
Kepler-1597 b,Kepler-1597,1,0,Transit,2016,Kepler,2.94654179,0.00003471,-0.00003471,0.0427,1.06,0.47,-0.17,0.095,1.2,,,,1.39,1.25,0.2,-0.11,2.4,1221.05,24.12,-23.22,0
Kepler-1598 b,Kepler-1598,1,0,Transit,2016,Kepler,4.34195123,0.00002827,-0.00002827,0.0527,0.95,0.28,-0.1,0.085,0.809,,,,1.09,1.07,0.07,-0.06,3.8,619.862,7.2165,-7.2165,0
Kepler-1599 b,Kepler-1599,1,0,Transit,2016,Kepler,122.363553,0.008968,-0.008968,0.4823,1.62,0.33,-0.23,0.145,3.26,,,,0.99,0.99,0.06,-0.05,4.27,1328.2,38.84,-36.72,0
Kepler-16 b,Kepler-16,2,0,Transit,2011,Kepler,228.776,0.02,-0.037,0.7048,8.449,0.029,-0.029,0.754,105.833,5.085,-5.085,,0.65,0.69,0,0,3.8,75.0852,0.1541,-0.1536,0
Kepler-160 b,Kepler-160,1,0,Transit,2014,Kepler,4.309397,0.000013,-0.000012,0.05511,1.715,0.061,-0.047,0.153,3.59,,,,1.12,0.97,0.05,-0.06,1.6,937.013,16.452,-15.904,0
Kepler-160 c,Kepler-160,1,0,Transit,2014,Kepler,13.699429,0.000018,-0.000018,0.1192,3.76,0.23,-0.09,0.335,13.6,,,,1.12,0.97,0.05,-0.06,1.6,937.013,16.452,-15.904,0
Kepler-160 d,Kepler-160,1,0,Transit Timing Variations,2020,Kepler,30,20,-23,0.17,,,,,100,,,,1.12,0.97,0.05,-0.06,1.6,937.013,16.452,-15.904,0
Kepler-1600 b,Kepler-1600,1,0,Transit,2016,Kepler,386.370548,0.008591,-0.008591,0.9712,3.13,0.28,-0.17,0.279,9.96,,,,0.82,0.86,0.04,-0.04,4.68,1030.81,34.2705,-34.2705,0
Kepler-1601 b,Kepler-1601,1,0,Transit,2016,Kepler,2.20921951,0.0000151,-0.0000151,0.0336,0.82,0.24,-0.11,0.073,0.477,,,,1.07,1.04,0.07,-0.06,4.27,644.456,6.281,-6.163,0
Kepler-1602 b,Kepler-1602,1,0,Transit,2016,Kepler,11.17931605,0.00007504,-0.00007504,0.1074,1.34,0.58,-0.23,0.12,2.36,,,,1.36,1.22,0.2,-0.11,2.51,629.804,5.564,-5.469,0
Kepler-1603 b,Kepler-1603,1,0,Transit,2016,Kepler,2.27163926,0.00002336,-0.00002336,0.0351,1.29,0.47,-0.19,0.115,2.21,,,,1.31,1.21,0.15,-0.1,2.82,2712.58,248.97,-211.14,0
Kepler-1604 b,Kepler-1604,1,0,Transit,2016,Kepler,0.68368426,0.00000063,-0.00000063,0.0089,1.41,0.19,-0.11,0.126,2.57,,,,0.76,0.81,0.03,-0.04,4.17,541.189,6.329,-6.188,0
Kepler-1605 b,Kepler-1605,1,0,Transit,2016,Kepler,85.7565495,0.0006161,-0.0006161,0.3912,1.08,0.09,-0.08,0.096,1.28,,,,0.82,0.86,0.04,-0.04,4.68,546.23,6.6415,-6.6415,0
Kepler-1606 b,Kepler-1606,1,0,Transit,2016,Kepler,196.435224,0.003935,-0.003935,0.6421,2.07,0.23,-0.15,0.185,4.94,,,,0.86,0.9,0.04,-0.04,4.27,831.287,18.466,-17.694,0
Kepler-1607 b,Kepler-1607,1,0,Transit,2016,Kepler,13.6473676,0.0002102,-0.0002102,0.1075,0.92,0.33,-0.14,0.082,0.721,,,,1.21,1.14,0.14,-0.1,3.16,1286.1,38.86,-38.86,0
Kepler-1608 b,Kepler-1608,1,0,Transit,2016,Kepler,16.4735686,0.0001698,-0.0001698,0.1126,1.73,0.16,-0.19,0.154,3.64,,,,0.72,0.75,0.05,-0.07,5.13,832,64.982,-81.437,0
Kepler-1609 b,Kepler-1609,1,0,Transit,2016,Kepler,114.34219,0.004097,-0.004097,0.4679,2.22,0.9,-0.32,0.198,5.56,,,,1.27,1.18,0.16,-0.09,3.02,1826.04,100.88,-91.03,0
Kepler-161 b,Kepler-161,1,0,Transit,2014,Kepler,4.921355,0.000006,-0.000006,0.054,2.12,0.14,-0.14,0.189,12.1,7.4,-6.3,,0.81,0.86,0.03,-0.03,4.68,434.632,3.1,-3.056,0
Kepler-161 c,Kepler-161,1,0,Transit,2014,Kepler,7.06424,0.000011,-0.000011,0.068,2.05,0.15,-0.15,0.183,11.8,10.5,-7.5,,0.81,0.86,0.03,-0.03,4.68,434.632,3.1,-3.056,0
Kepler-1610 b,Kepler-1610,1,0,Transit,2016,Kepler,8.70181574,0.00008315,-0.00008315,0.0777,1.61,0.19,-0.13,0.144,3.22,,,,0.87,0.91,0.04,-0.04,4.68,864.331,24.2205,-24.2205,0
Kepler-1611 b,Kepler-1611,1,0,Transit,2016,Kepler,5.1762429,0.00005826,-0.00005826,0.0586,0.81,0.16,-0.07,0.072,0.457,,,,0.93,0.94,0.04,-0.05,5.01,908.444,,,0
Kepler-1612 b,Kepler-1612,1,0,Transit,2016,Kepler,3.91795101,0.00002727,-0.00002727,0.0482,1.03,0.18,-0.11,0.092,1.08,,,,0.94,0.96,0.05,-0.05,4.57,764.726,13.738,-13.269,0
Kepler-1613 b,Kepler-1613,1,0,Transit,2016,Kepler,1.5184299,0.0001991,-0.0001991,0.0264,2.08,0.44,-0.51,0.186,4.98,,,,1.12,1.08,0.08,-0.07,3.55,1508.33,65.08,-60,0
Kepler-1614 b,Kepler-1614,1,0,Transit,2016,Kepler,3.9466141,0.00003022,-0.00003022,0.0471,1.49,0.12,-0.15,0.133,2.83,,,,0.76,0.79,0.05,-0.06,5.5,1191.19,46.18,-42.91,0
Kepler-1615 b,Kepler-1615,1,0,Transit,2016,Kepler,47.3126192,0.0008593,-0.0008593,0.2788,2.06,0.48,-0.58,0.184,4.9,,,,1.05,1.04,0.06,-0.06,3.89,1393.83,39.15,-37.11,0
Kepler-1616 b,Kepler-1616,1,0,Transit,2016,Kepler,6.76284377,0.00006948,-0.00006948,0.0761,1.02,0.47,-0.15,0.091,1.04,,,,1.34,1.21,0.19,-0.1,2.75,1137.81,17.53,-17.53,0
Kepler-1617 b,Kepler-1617,1,0,Transit,2016,Kepler,27.4785572,0.0005078,-0.0005078,0.181,1.2,0.37,-0.16,0.107,1.87,,,,1.22,1.15,0.13,-0.08,3.02,898.31,12.709,-12.709,0
Kepler-1618 b,Kepler-1618,1,0,Transit,2016,Kepler,6.10826019,0.00008991,-0.00008991,0.0706,1.26,0.52,-0.24,0.112,2.13,,,,1.65,1.41,0.22,-0.15,1.78,1229.25,27.625,-27.625,0
Kepler-1619 b,Kepler-1619,1,0,Transit,2016,Kepler,23.6225913,0.000542,-0.000542,0.1611,0.76,0.15,-0.08,0.068,0.363,,,,1,1,0.06,-0.07,4.27,734.85,8.107,-7.935,0
Kepler-162 b,Kepler-162,1,0,Transit,2014,Kepler,6.919798,0.000052,-0.000052,0.069,1.26,0.67,-0.67,0.112,2.13,,,,0.96,0.95,0.09,-0.09,3.02,855.641,15.029,-14.528,0
Kepler-162 c,Kepler-162,1,0,Transit,2014,Kepler,19.446355,0.000045,-0.000045,0.137,3.03,1.63,-1.63,0.27,9.43,,,,0.96,0.95,0.09,-0.09,3.02,855.641,15.029,-14.528,0
Kepler-1620 b,Kepler-1620,1,0,Transit,2016,Kepler,101.951829,0.001572,-0.001572,0.4322,1.61,0.64,-0.27,0.144,3.22,,,,1.23,1.15,0.16,-0.1,3.02,895.069,,,0
Kepler-1621 b,Kepler-1621,1,0,Transit,2016,Kepler,92.263714,0.002385,-0.002385,0.4204,2.16,0.8,-0.37,0.193,5.31,,,,1.24,1.15,0.2,-0.11,2.69,1631.66,70.8,-65.23,0
Kepler-1622 b,Kepler-1622,1,0,Transit,2016,Kepler,10.8118737,0.0001009,-0.0001009,0.0994,1.47,0.68,-0.27,0.131,2.76,,,,1.5,1.31,0.22,-0.13,2.19,796.477,9.151,-8.949,0
Kepler-1623 b,Kepler-1623,1,0,Transit,2016,Kepler,4.36128348,0.00002698,-0.00002698,0.0518,1.31,0.31,-0.18,0.117,2.27,,,,1,1,0.07,-0.07,4.27,837.481,15.045,-14.531,0
Kepler-1624 b,Kepler-1624,1,0,Transit,2016,Kepler,3.29030452,0.00000456,-0.00000456,0.0327,5.7,0.39,-0.46,0.509,27.6,,,,0.47,0.5,0.03,-0.04,4.47,258.979,2.984,-2.918,0
Kepler-1625 b,Kepler-1625,1,0,Transit,2016,Kepler,287.378949,0.002983,-0.002983,0.8748,6.06,0.87,-0.53,0.541,30.6,,,,0.94,0.96,0.06,-0.06,4.37,2310.11,213.09,-180.49,0
Kepler-1626 b,Kepler-1626,1,0,Transit,2016,Kepler,4.13962966,0.00002851,-0.00002851,0.0537,2.02,0.66,-0.43,0.18,4.74,,,,1.85,1.51,0.21,-0.2,1.55,1368.83,33.97,-32.39,0
Kepler-1627 b,Kepler-1627,1,0,Transit,2016,Kepler,7.20283653,0.00008773,-0.00008773,0.0643,3.69,0.49,-0.41,0.329,13.2,,,,0.84,0.87,0.05,-0.06,4.68,317.437,4.528,-4.404,0
Kepler-1628 b,Kepler-1628,1,0,Transit,2016,Kepler,76.378033,0.001833,-0.001833,0.2952,6.43,0.94,-0.51,0.574,33.8,,,,0.52,0.55,0.04,-0.03,5.13,352,41.229,-27.305,0
Kepler-1629 b,Kepler-1629,1,0,Transit,2016,Kepler,3.87595807,0.00002379,-0.00002379,0.0485,0.77,0.15,-0.08,0.069,0.381,,,,1.01,1.01,0.05,-0.05,4.27,336.09,2.643,-2.604,0
Kepler-163 b,Kepler-163,1,0,Transit,2014,Kepler,7.810937,0.000107,-0.000107,0.078,1.05,0.44,-0.44,0.094,1.16,,,,0.92,0.88,0.07,-0.03,4.27,689.814,9.8645,-9.8645,0
Kepler-163 c,Kepler-163,1,0,Transit,2014,Kepler,21.347262,0.000081,-0.000081,0.152,2.26,0.94,-0.94,0.202,5.73,,,,0.92,0.88,0.07,-0.03,4.27,689.814,9.8645,-9.8645,0
Kepler-1630 b,Kepler-1630,1,0,Transit,2016,Kepler,509.997402,0.003256,-0.003256,1.1218,2.19,0.2,-0.1,0.195,5.43,,,,0.63,0.66,0.05,-0.03,5.01,331.213,2.18,-2.151,0
Kepler-1631 b,Kepler-1631,1,0,Transit,2016,Kepler,4.09513932,0.00003048,-0.00003048,0.0511,1.35,0.2,-0.15,0.12,2.39,,,,0.95,0.97,0.05,-0.06,4.17,1305.99,54.96,-50.77,0
Kepler-1632 b,Kepler-1632,1,0,Transit,2016,Kepler,448.303558,0.004164,-0.004164,0.6762,2.47,0.84,-0.35,0.22,6.66,,,,1.19,1.12,0.14,-0.1,3.09,716.76,6.705,-6.585,0
Kepler-1633 b,Kepler-1633,1,0,Transit,2016,Kepler,186.404271,0.005886,-0.005886,0.3875,1.58,0.65,-0.25,0.141,3.12,,,,1.32,1.2,0.17,-0.09,2.82,1114.91,17.215,-17.215,0
Kepler-1634 b,Kepler-1634,1,0,Transit,2016,Kepler,374.876239,0.007107,-0.007107,1.0525,3.19,0.52,-0.6,0.285,10.3,,,,0.89,0.92,0.05,-0.05,4.47,617.339,8.4325,-8.4325,0
Kepler-1635 b,Kepler-1635,1,0,Transit,2016,Kepler,469.63111,0.01246,-0.01246,1.117,3.64,0.33,-0.67,0.325,12.9,,,,0.85,0.89,0.04,-0.04,4.9,1069.45,39.9,-37.17,0
Kepler-1636 b,Kepler-1636,1,0,Transit,2016,Kepler,425.47785,0.01122,-0.01122,1.1546,3.23,0.76,-0.35,0.288,10.5,,,,1.02,1.01,0.08,-0.06,3.98,1947.54,121.425,-121.425,0
Kepler-1637 b,Kepler-1637,1,0,Transit,2016,Kepler,6.10960324,0.00006485,-0.00006485,0.0596,0.89,0.18,-0.09,0.079,0.64,,,,1.02,1.02,0.06,-0.05,4.17,567.187,,,0
Kepler-1638 b,Kepler-1638,1,0,Transit,2016,Kepler,259.33683,0.01303,-0.01303,0.745,1.87,0.33,-0.22,0.167,4.16,,,,0.95,0.97,0.05,-0.06,4.37,1525.52,50.91,-47.78,0
Kepler-1639 b,Kepler-1639,1,0,Transit,2016,Kepler,9.878482,0.002171,-0.002171,0.0932,2.58,0.79,-0.34,0.23,7.18,,,,1.18,1.12,0.11,-0.08,3.16,1031.31,19.55,-18.85,0
Kepler-164 b,Kepler-164,1,0,Transit,2014,Kepler,5.03503,0.000027,-0.000027,0.058,1.41,0.28,-0.28,0.126,2.57,,,,1.15,1.09,0.04,-0.05,0.62,890.758,13.684,-13.284,0
Kepler-164 c,Kepler-164,1,0,Transit,2014,Kepler,10.945723,0.000029,-0.000029,0.097,2.73,0.52,-0.52,0.244,7.9,,,,1.15,1.09,0.04,-0.05,0.62,890.758,13.684,-13.284,0
Kepler-164 d,Kepler-164,1,0,Transit,2014,Kepler,28.986769,0.000162,-0.000162,0.187,2.45,0.47,-0.47,0.219,6.57,,,,1.15,1.09,0.04,-0.05,0.62,890.758,13.684,-13.284,0
Kepler-1640 b,Kepler-1640,1,0,Transit,2016,Kepler,7.5844126,0.0003866,-0.0003866,0.0836,4.82,2.48,-0.8,0.43,20.7,,,,1.43,1.27,0.21,-0.1,2.4,1859.78,,,0
Kepler-1641 b,Kepler-1641,1,0,Transit,2016,Kepler,19.672266,0.00111,-0.00111,0.1473,3.11,1.13,-0.58,0.277,9.85,,,,1.19,1.12,0.16,-0.12,3.02,860.37,16.718,-16.104,0
Kepler-1641 c,Kepler-1641,1,0,Transit,2016,Kepler,32.657212,0.003099,-0.003099,0.2065,2.95,0.98,-0.49,0.263,9.01,,,,1.19,1.12,0.16,-0.12,3.02,860.37,16.718,-16.104,0
Kepler-1642 b,Kepler-1642,1,0,Transit,2016,Kepler,12.2057513,0.0005101,-0.0005101,0.1016,3.2,0.34,-0.25,0.285,10.3,,,,0.84,0.88,0.06,-0.05,4.47,413.873,3.221,-3.174,0
